iter,elapsed_s,next_ar,train_batch_size,optimizer_steps,learning_rate,policy_loss,value_loss,batches_per_sec,samples_per_sec,train_time_s,train_steps_planned,train_steps_actual,train_samples,samples_ratio,avg_grad_norm,avg_entropy,entropy_coef,lr_sched_drift_pct,train_recent_pct,lr_sched_t,lr_sched_total,sp_games,sp_white_wins,sp_white_win_pct,sp_draws,sp_draws_true,sp_draws_cap,sp_draw_pct,sp_draw_true_pct,sp_draw_cap_pct,sp_black_wins,sp_black_win_pct,sp_decisive_pct,sp_gpm,sp_mps_k,sp_avg_len,sp_new_moves,sp_white_starts,sp_black_starts,sp_white_start_pct,sp_black_start_pct,sp_color_bias_black_pct,sp_color_bias_target_pct,sp_terminal_eval_mean,sp_terminal_eval_abs_mean,sp_tempo_bonus_avg,sp_sims_avg,sp_unique_positions_avg,sp_unique_ratio_pct,sp_halfmove_avg,sp_halfmove_max,sp_threefold_pct,sp_threefold_games,sp_threefold_draws,sp_loop_games,sp_loop_alerts,sp_loop_pct,sp_loop_flag_games,sp_loop_flag_pct,sp_loop_unique_ratio_pct,sp_loop_bias_avg,sp_value_trend_hit_pct,sp_loss_eval_mean,sp_loss_eval_p05,sp_loss_eval_p25,resign_status,resign_threshold,resign_min_plies,resign_cooldown_iters,replay_reset,sp_adjudicate_margin,sp_adjudicate_min_plies,sp_term_natural,sp_term_exhausted,sp_term_resign,sp_term_threefold,sp_term_fifty,sp_term_adjudicated,sp_term_loop,sp_term_natural_pct,sp_term_exhausted_pct,sp_term_resign_pct,sp_term_threefold_pct,sp_term_fifty_pct,sp_term_adjudicated_pct,sp_term_loop_pct,sp_adjudicated_games,sp_adjudicated_white,sp_adjudicated_black,sp_adjudicated_draw,sp_adjudicated_pct,sp_adjudicated_white_pct,sp_adjudicated_black_pct,sp_adjudicated_draw_pct,sp_adjudicated_balance_mean,sp_adjudicated_balance_abs_mean,sp_adjudicated_balance_total,sp_adjudicated_balance_abs_total,selfplay_time,buffer_size,buffer_capacity,buffer_percent,eval_requests_total,eval_cache_hits_total,eval_requests_delta,eval_cache_hits_delta,eval_hit_rate,eval_hit_rate_delta,eval_batches_total,eval_batches_delta,eval_positions_total,eval_positions_delta,eval_batch_size_max,eval_batch_cap,eval_coalesce_ms,eval_avg_batch,arena_ran,arena_time_s,arena_w,arena_d,arena_l,arena_n,arena_p,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_decisive_games,arena_margin_target,arena_term_resign,arena_term_natural,arena_term_exhausted,arena_term_threefold,arena_term_fifty,arena_term_adjudicated,arena_term_loop,arena_term_natural_pct,arena_term_adjudicated_pct,arena_term_loop_pct,arena_natural_gate_blocked,arena_lb,arena_ub,arena_elo,arena_se_elo,arena_decision,arena_round,arena_age_iter,arena_expected_games,arena_actual_games,arena_gate_z,arena_gate_w,arena_gate_d,arena_gate_l,arena_gate_games,arena_gate_min_games,arena_gate_min_decisive,arena_gate_force_decisive,arena_gate_draw_weight,arena_gate_baseline_p,arena_gate_baseline_margin,arena_gate_started_iter,arena_notes,gate_rounds,gpu_peak_alloc_gb,gpu_peak_reserved_gb,gpu_allocated_gb,gpu_reserved_gb,gpu_total_gb,rss_gb,ram_used_gb,ram_total_gb,ram_pct,cpu_sys_pct,cpu_proc_pct,load1
1,94.79893660545349,5,288,36,3.3333333333333335e-05,8.657679557800293,0.6433461904525757,27.368842483956065,7882.226635379347,1.3153643608093262,36,36,10368,1.0314365300437724,12.275183200836182,8.212304698096382,0.0003,-40.0,80.0,36,27648,72,25,34.72222222222222,24,4,20,33.333333333333336,5.555555555555555,27.77777777777778,23,31.944444444444443,66.66666666666667,46.264151007180416,0.10764982544541148,139.61111111111111,10052,39,33,54.166666666666664,45.833333333333336,55.00000000000001,56.25,-0.030686908298068576,0.13981183369954428,0.0038788788788788795,110.02777777777777,138.93055555555554,98.70043669536983,13.499102532525272,99,0.0,0,0,31,115,43.05555555555556,22,30.555555555555557,96.05181526440805,0.0,0.0,-0.033110618591308594,-0.21642455458641052,-0.152740478515625,disabled:warmup,-0.09,60,0,0,5.989583333333333,136,4,20,0,0,0,29,19,5.555555555555555,27.77777777777778,0.0,0.0,0.0,40.27777777777778,26.38888888888889,29,17,12,0,40.27777777777778,58.62068965517241,41.37931034482759,0.0,2.1724137931034484,10.10344827586207,63.0,293.0,93.37683510780334,11018,50000,22.036,1066073,15708,1066073,15708,1.473445064268582,1.473445064268582,3713,3713,1050365,1050365,384,384,22,282.888499865338,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,1.0,64.0,0.0,0.75,0.0,0.0,0.0,0.0,64.0,10.0,0.0,0.4,0.5,0.004,0.0,,0,0.8439960479736328,6.755859375,0.640470027923584,1.03515625,7.6014404296875,5.114234924316406,8.444355010986328,15.536491394042969,54.4,100.0,1653.8,1.96630859375
2,190.44698643684387,4,288,36,6.666666666666667e-05,8.66057300567627,0.6668060421943665,37.453982521054925,10786.74696606382,0.9611794948577881,36,36,10368,1.0070908207867897,11.686476257112291,8.213375806808472,0.000298828125,-40.0,80.0,72,27648,72,21,29.166666666666668,34,4,30,47.22222222222222,5.555555555555555,41.666666666666664,17,23.61111111111111,52.77777777777778,45.678520266483496,0.10885656623690916,142.98611111111111,10295,29,43,40.27777777777778,59.72222222222222,56.25,35.41666666666667,0.005339304606119792,0.13978025648328993,0.0008758758758758758,106.5,142.83333333333334,99.15495382982401,10.708588253108182,99,0.0,0,0,27,83,37.5,16,22.22222222222222,96.70046571105436,0.0,0.0,0.015117444097995758,-0.23820190131664276,-0.1237640380859375,disabled:warmup,-0.09,60,0,0,5.979166666666667,136,4,30,0,0,0,26,12,5.555555555555555,41.666666666666664,0.0,0.0,0.0,36.111111111111114,16.666666666666668,26,13,13,0,36.111111111111114,50.0,50.0,0.0,-0.23076923076923078,9.384615384615385,-6.0,244.0,94.5739917755127,22555,50000,45.11,2129562,26165,1063489,10457,1.2286564091583152,0.9832729816669472,7406,3693,2103397,1053032,384,384,22,285.1427024099648,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,2.0,64.0,0.0,0.75,0.0,0.0,0.0,0.0,64.0,10.0,0.0,0.4,0.5,0.004,0.0,,0,0.8598651885986328,1.03515625,0.656339168548584,1.03515625,7.6014404296875,5.5123748779296875,7.825160980224609,15.536491394042969,50.4,0.0,0.0,2.6103515625
3,288.7301676273346,3,288,37,0.00010092592592592594,8.658717155456543,0.6620821952819824,35.505410145641754,10225.558121944825,1.0420947074890137,37,37,10656,1.0186406653283624,11.663604375478384,8.213416563498008,0.00029765624999999996,-38.333333333333336,76.0,109,27648,72,15,20.833333333333332,33,3,30,45.833333333333336,4.166666666666667,41.666666666666664,24,33.333333333333336,54.166666666666664,44.48738005569324,0.10772742656541828,145.29166666666666,10461,36,36,50.0,50.0,35.41666666666667,50.0,-0.014554765489366319,0.13626903957790798,0.0014702202202202203,101.25,145.84722222222223,99.68828770460935,7.757976726726724,99,0.0,0,0,20,32,27.77777777777778,8,11.11111111111111,98.24240813343079,0.0,0.0,0.016457581892609596,-0.19902344048023224,-0.122833251953125,disabled:warmup,-0.09,60,0,0,5.96875,136,3,30,0,0,0,34,5,4.166666666666667,41.666666666666664,0.0,0.0,0.0,47.22222222222222,6.944444444444445,34,13,21,0,47.22222222222222,38.23529411764706,61.76470588235294,0.0,-3.6470588235294117,9.764705882352942,-124.0,332.0,97.10619044303894,33907,50000,67.814,3163172,29804,1033610,3639,0.9422187601559447,0.352067027215294,11183,3777,3133368,1029971,384,384,22,272.6955255493778,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,3.0,64.0,0.0,0.75,0.0,0.0,0.0,0.0,64.0,10.0,0.0,0.4,0.5,0.004,0.0,,0,0.8598670959472656,1.03515625,0.656339168548584,1.03515625,7.6014404296875,5.662666320800781,7.318325042724609,15.536491394042969,47.1,0.0,0.0,2.8603515625
4,390.45895051956177,2,288,36,0.0001342592592592593,8.646759033203125,0.6756154298782349,35.246556517878425,10151.008277148985,1.021376371383667,36,36,10368,1.007678102828263,11.292443328433567,8.215047677357992,0.000296484375,-40.0,61.0,145,27648,72,24,33.333333333333336,29,5,24,40.27777777777778,6.944444444444445,33.333333333333336,19,26.38888888888889,59.72222222222222,42.95760393921332,0.1023126821598532,142.90277777777777,10289,32,40,44.44444444444444,55.55555555555556,50.0,41.666666666666664,0.013873630099826388,0.1341586642795139,0.004535785785785785,104.77777777777777,143.08333333333334,99.43220786367806,8.8280329748353,99,0.0,0,0,25,58,34.72222222222222,16,22.22222222222222,97.87816210635003,0.0,0.0,0.010510821826756,-0.19851073622703552,-0.1439208984375,disabled:warmup,-0.09,60,0,0,5.958333333333333,136,5,24,0,0,0,31,12,6.944444444444445,33.333333333333336,0.0,0.0,0.0,43.05555555555556,16.666666666666668,31,18,13,0,43.05555555555556,58.064516129032256,41.935483870967744,0.0,1.032258064516129,10.838709677419354,32.0,336.0,100.56426811218262,45372,50000,90.744,4223046,36474,1059874,6670,0.8636893843922135,0.6293200889917103,14909,3726,4186572,1053204,384,384,22,282.6634460547504,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,4.0,64.0,0.0,0.75,0.0,0.0,0.0,0.0,64.0,10.0,0.0,0.4,0.5,0.004,0.0,,0,0.8598651885986328,1.03515625,0.656339168548584,1.03515625,7.6014404296875,5.994010925292969,7.748653411865234,15.536491394042969,49.9,0.0,0.0,2.978515625
5,489.15599513053894,1,288,37,0.00016851851851851853,8.651847839355469,0.6675362586975098,39.87161273349118,11483.024467245461,0.927978515625,37,37,10656,1.0165029094724793,11.253029823303223,8.21728074872816,0.00029531249999999995,-38.333333333333336,45.0,182,27648,72,25,34.72222222222222,25,3,22,34.72222222222222,4.166666666666667,30.555555555555557,22,30.555555555555557,65.27777777777777,44.24147311360903,0.10735725987267673,145.59722222222223,10483,36,36,50.0,50.0,41.666666666666664,50.0,-0.006678263346354167,0.13322957356770834,-0.001532782782782783,105.75,145.15277777777777,98.98452496664328,8.538499544427815,99,0.0,0,0,29,102,40.27777777777778,16,22.22222222222222,96.00362417914914,0.0,0.0,0.004762040916830301,-0.19807128608226776,-0.13958740234375,disabled:warmup,-0.09,60,0,0,5.947916666666667,135,3,22,0,0,0,35,12,4.166666666666667,30.555555555555557,0.0,0.0,0.0,48.611111111111114,16.666666666666668,35,18,17,0,48.611111111111114,51.42857142857143,48.57142857142857,0.0,-0.7714285714285715,10.028571428571428,-27.0,351.0,97.64593482017517,50000,50000,100.0,5319488,49389,1096442,12915,0.9284540166271641,1.1779008830380449,18683,3774,5270099,1083527,384,384,22,287.1030736618972,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,5.0,64.0,0.0,0.75,0.0,0.0,0.0,0.0,64.0,10.0,0.0,0.4,0.5,0.004,0.0,,0,0.8598670959472656,1.03515625,0.656339168548584,1.03515625,7.6014404296875,6.090251922607422,7.124446868896484,15.536491394042969,45.9,0.0,0.0,2.27880859375
6,992.4719598293304,6,288,37,0.00020277777777777777,8.639404296875,0.674832820892334,39.10430030958036,11262.038489159144,0.9461874961853027,37,37,10656,1.0101431415300028,11.051943366591995,8.219042700690192,0.00029414062499999997,-38.333333333333336,45.0,219,27648,72,20,27.77777777777778,31,0,31,43.05555555555556,0.0,43.05555555555556,21,29.166666666666668,56.94444444444444,45.66887490127745,0.11151874104943885,146.51388888888889,10549,35,37,48.611111111111114,51.388888888888886,50.0,50.0,0.001064724392361111,0.1303015814887153,-0.0012825325325325325,105.75,146.22222222222223,99.05770043853173,7.008923684554123,99,0.0,0,0,22,90,30.555555555555557,16,22.22222222222222,96.01132982574173,0.0,0.0,0.017016898840665817,-0.1741943359375,-0.1268310546875,disabled:warmup,-0.09,60,0,0,5.9375,135,0,31,0,0,0,29,12,0.0,43.05555555555556,0.0,0.0,0.0,40.27777777777778,16.666666666666668,29,13,16,0,40.27777777777778,44.827586206896555,55.172413793103445,0.0,0.7931034482758621,12.586206896551724,23.0,365.0,94.59396600723267,50000,50000,100.0,6383678,59899,1064190,10510,0.9383148711448165,0.9876055967449422,22407,3724,6323779,1053680,384,384,22,282.94307196562835,1,406.7386701107025,15,18,31,64,0.346875,34.6875,28.125,71.875,46,0.504,0.0,0.0,18.0,0.0,0.0,46.0,0.0,71.875,71.875,0.0,0.0,0.3094861724813712,0.38426382751862875,-109.92932292975863,38.2257114567607,reject,0.0,0.0,64.0,64.0,0.75,15.0,18.0,31.0,64.0,64.0,10.0,0.0,0.4,0.5,0.004,6.0,,0,0.9268689155578613,1.05078125,0.47641992568969727,1.05078125,7.6014404296875,11.90829849243164,4.414031982421875,15.536491394042969,28.4,100.0,0.0,0.94873046875
7,1087.785362958908,5,288,37,0.00023703703703703704,8.659333229064941,0.7128112316131592,39.48777549847865,11372.47934356185,0.9369988441467285,37,37,10656,1.00046943948925,11.387510119257746,8.213130564303011,0.00029296875,-38.333333333333336,45.0,256,27648,72,27,37.5,26,1,25,36.111111111111114,1.3888888888888888,34.72222222222222,19,26.38888888888889,63.888888888888886,45.83458640865059,0.11300559718484662,147.93055555555554,10651,41,31,56.94444444444444,43.05555555555556,50.0,60.416666666666664,-0.026462131076388888,0.1397433810763889,-0.001001001001001001,104.25,148.11111111111111,99.45003728560775,7.878241221991221,99,0.0,0,0,23,59,31.944444444444443,14,19.444444444444443,97.60306807286672,0.0,0.0,-0.024852586910128593,-0.187652587890625,-0.156890869140625,disabled:warmup,-0.09,60,0,0,5.927083333333333,135,1,25,0,0,0,37,9,1.3888888888888888,34.72222222222222,0.0,0.0,0.0,51.388888888888886,12.5,37,20,17,0,51.388888888888886,54.054054054054056,45.945945945945944,0.0,1.2972972972972974,10.54054054054054,48.0,390.0,94.25196862220764,50000,50000,100.0,7460744,67211,1077066,7312,0.9008618979554854,0.6788813313204576,26145,3738,7393533,1069754,384,384,22,286.1835205992509,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,1.0,64.0,0.0,0.75,15.0,18.0,31.0,64.0,64.0,10.0,0.0,0.4,0.5,0.004,6.0,,0,0.8598670959472656,1.08984375,0.656339168548584,1.08984375,7.6014404296875,5.878715515136719,6.959819793701172,15.536491394042969,44.8,0.0,0.0,1.23486328125
8,1180.566650390625,4,288,37,0.00027129629629629634,8.659996032714844,0.6595671772956848,39.72417634455943,11440.562787233117,0.9314227104187012,37,37,10656,1.022943265815494,11.067692292703164,8.21633632763012,0.00029179687499999996,-38.333333333333336,45.0,293,27648,72,17,23.61111111111111,32,5,27,44.44444444444444,6.944444444444445,37.5,23,31.944444444444443,55.55555555555556,47.09484923151303,0.11356181584367389,144.68055555555554,10417,35,37,48.611111111111114,51.388888888888886,60.416666666666664,50.0,-0.0009430779351128472,0.13618426852756077,-0.001783033033033033,100.5,144.38888888888889,99.07011392172174,8.389540902757082,99,0.0,0,0,21,90,29.166666666666668,13,18.055555555555557,95.28816838008828,0.0,0.0,0.01380233746021986,-0.19911499321460724,-0.133148193359375,disabled:warmup,-0.09,60,0,0,5.916666666666667,135,5,27,0,0,0,30,10,6.944444444444445,37.5,0.0,0.0,0.0,41.666666666666664,13.88888888888889,30,13,17,0,41.666666666666664,43.333333333333336,56.666666666666664,0.0,-2.033333333333333,11.633333333333333,-61.0,349.0,91.72977662086487,50000,50000,100.0,8492373,78968,1031629,11757,0.9298696606943666,1.1396538872016975,29842,3697,8413405,1019872,384,384,22,275.86475520692454,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,2.0,64.0,0.0,0.75,15.0,18.0,31.0,64.0,64.0,10.0,0.0,0.4,0.5,0.004,6.0,,0,0.8598670959472656,1.08984375,0.656339168548584,1.08984375,7.6014404296875,5.910003662109375,7.058799743652344,15.536491394042969,45.4,0.0,0.0,1.13623046875
9,1272.6652781963348,3,288,36,0.00030462962962962963,8.63949966430664,0.6381323337554932,39.88915831850208,11488.0775957286,0.9025008678436279,36,36,10368,1.0062111801242235,11.00265489684211,8.219857825173271,0.000290625,-40.0,45.0,329,27648,72,22,30.555555555555557,35,4,31,48.611111111111114,5.555555555555555,43.05555555555556,15,20.833333333333332,51.388888888888886,47.43779480111014,0.1131479253774627,143.11111111111111,10304,40,32,55.55555555555556,44.44444444444444,50.0,58.333333333333336,-0.0206245846218533,0.13469378153483072,0.0017517517517517515,108.05555555555556,142.93055555555554,99.14884490957702,8.795783163714892,99,0.0,0,0,22,84,30.555555555555557,12,16.666666666666668,95.45235357379342,0.0,0.0,-0.007046261336654425,-0.23308105766773224,-0.140380859375,disabled:warmup,-0.09,60,0,0,5.90625,135,4,31,0,0,0,26,11,5.555555555555555,43.05555555555556,0.0,0.0,0.0,36.111111111111114,15.277777777777779,26,16,10,0,36.111111111111114,61.53846153846154,38.46153846153846,0.0,2.576923076923077,12.26923076923077,67.0,319.0,91.06662774085999,50000,50000,100.0,9547372,89386,1054999,10418,0.936236694244238,0.9874890876673816,33529,3687,9457986,1044581,384,384,22,283.31461893138055,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,3.0,64.0,0.0,0.75,15.0,18.0,31.0,64.0,64.0,10.0,0.0,0.4,0.5,0.004,6.0,,0,0.8598651885986328,1.08984375,0.656339168548584,1.08984375,7.6014404296875,5.94403076171875,6.991466522216797,15.536491394042969,45.0,0.0,0.0,1.26318359375
10,1363.1690850257874,2,288,36,0.000337962962962963,8.623367309570312,0.6038059592247009,39.81464843147445,11466.618748264644,0.9041898250579834,36,36,10368,1.0028049134345682,10.47688110669454,8.222344372007582,0.000289453125,-40.0,45.0,365,27648,72,20,27.77777777777778,38,4,34,52.77777777777778,5.555555555555555,47.22222222222222,14,19.444444444444443,47.22222222222222,48.28463176619052,0.11555898329413052,143.59722222222223,10339,33,39,45.833333333333336,54.166666666666664,58.333333333333336,43.75000000000001,-0.007614983452690972,0.13406456841362846,0.0018143143143143142,100.5,144.09722222222223,99.63772154050855,8.55416802134569,99,0.0,0,0,15,34,20.833333333333332,8,11.11111111111111,97.32674218672459,0.0,0.0,0.011437809094786644,-0.19666138291358948,-0.137939453125,disabled:warmup,-0.09,60,0,0,5.895833333333333,135,4,34,0,0,0,29,5,5.555555555555555,47.22222222222222,0.0,0.0,0.0,40.27777777777778,6.944444444444445,29,18,11,0,40.27777777777778,62.06896551724138,37.93103448275862,0.0,3.5517241379310347,9.96551724137931,103.0,289.0,89.46946144104004,50000,50000,100.0,10557087,93488,1009715,4102,0.8855473105412506,0.406253249679365,37179,3650,10463599,1005613,384,384,22,275.5104109589041,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped,0.0,4.0,64.0,0.0,0.75,15.0,18.0,31.0,64.0,64.0,10.0,0.0,0.4,0.5,0.004,6.0,,0,0.8598651885986328,1.08984375,0.656339168548584,1.08984375,7.6014404296875,5.842563629150391,6.851726531982422,15.536491394042969,44.1,0.0,0.0,1.08349609375
