iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,453.8517265319824,48,48,48,5376,3.957803726196289,447.54239296913147,8.698810954888662,0.07125127138820866,1.4242209071914356,0.1306922891686474,8.198544402917227,0.001712253331123329,0.000300390625,19.483567039171856,1.2192957630224837,3.3600000000000004e-05,1358.3291067257373,65.0,0.0,0,21000,100,47,50,3,98.84433749436005,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
2,922.8182685375214,48,48,48,5376,2.185195207595825,464.8137288093567,8.693454047044119,0.06278665053398541,1.3786676128705342,0.11304084338775455,8.198108851909637,0.0017046645486285682,0.0003,19.57802363236745,1.2027572454566153,6.720000000000001e-05,2460.1921060932273,65.0,32.12380952380952,6746,21000,100,53,46,1,98.90864799025579,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
3,1400.1954593658447,48,48,48,5376,1.9072353839874268,473.2880618572235,8.699677228927612,0.07142356399998688,1.2617919817566872,0.10476167840085465,8.198229571183523,0.0013265421375995854,0.00029960937499999996,19.612889607747395,1.0673879925431649,0.0001008,2818.7396506667583,65.0,63.87142857142857,13413,21000,100,55,43,2,98.84040645546922,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
4,1890.2109801769257,48,48,48,5376,1.7090129852294922,485.97472620010376,8.694779256979624,0.07009341113584922,1.246582679450512,0.11464948591803992,8.199280560016632,0.0012839852141829117,0.00029921874999999995,19.979661504427593,0.802996886854154,0.00013440000000000001,3145.675338024475,65.0,96.20476190476191,20203,21000,100,50,49,1,98.8753762793498,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
5,2371.058293581009,48,48,48,5376,2.007600784301758,476.7669117450714,8.677046159903208,0.07431783771160767,1.185088824480772,0.09896573887711974,8.199334561824799,0.0016574892874503685,0.000298828125,20.027085661888123,0.8230012910402369,0.000168,2677.8232216470115,65.0,100.0,21000,21000,100,47,50,3,98.82268656716418,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
6,2851.642073392868,48,48,48,5376,1.6975231170654297,476.5743305683136,8.639786899089813,0.08001453941557912,1.180628630022208,0.08452689554307935,8.199018855889639,0.0014859185382379268,0.0002984375,20.139249165852863,0.6272945484722622,0.0002016,3166.9671805669946,65.0,100.0,21000,21000,100,45,52,3,98.82016104980615,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
7,3356.8247361183167,48,48,48,5376,1.6472091674804688,501.7106969356537,8.65468974908193,0.08483919144212411,1.203950474659602,0.1020664588429844,8.19949859380722,0.001286018101053539,0.00029804687499999997,20.330703616142273,0.6574120159773913,0.00023520000000000002,3263.7020884378635,65.0,100.0,21000,21000,100,47,52,1,98.83316031440012,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
8,3850.175101518631,48,48,48,5376,1.6726083755493164,489.53029203414917,8.631242434183756,0.07637073973554723,1.1351524752875168,0.08304887177014038,8.19980663061142,0.0015795207162305454,0.00029765624999999996,20.029936909675598,0.4832083307949988,0.00026880000000000003,3214.141504124909,65.0,100.0,21000,21000,100,42,55,3,98.83708370837084,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
9,4353.8004331588745,48,48,48,5376,1.9853062629699707,499.0891888141632,8.598507761955261,0.08096024750407986,1.1656606408456962,0.09809920711532044,8.199914534886679,0.0014635461641607798,0.00029726562499999995,20.041295051574707,0.6106168662359529,0.0003024,2707.8945451759328,65.0,100.0,21000,21000,100,42,55,3,98.77383396890583,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
10,4832.467012643814,48,48,48,5376,1.517458438873291,475.6455283164978,8.590437750021616,0.0868915796157475,1.1843271926045418,0.0727513971151668,8.20033343633016,0.0013837187918113167,0.000296875,20.130918741226196,0.6262469408939334,0.000336,3542.765892152978,65.0,100.0,21000,21000,100,52,48,0,98.89461781999096,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped
