iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,2221.287010192871,34,34,34,4352,2.705092668533325,2218.1817066669464,8.701881408691406,0.033420668920335767,0.3407303949489313,0.031505056362295614,8.200420407687917,0.00125427603971261,0.0003,9.438390254974365,0.5063942490258772,3.0694444444444444e-05,1608.817343163187,60.0,0.0,0,32000,warmup,0,150,0.48,16,9.0,62,1,0,61,70.09823655913978,4.838709677419355,0.0,0.0,95.16129032258064,0.0,0.0,0.0,0.0,skipped
2,5928.562953710556,39,39,39,4992,1.2147316932678223,3705.8547942638397,8.707199096679688,0.021529226191241563,0.29631345470746356,0.04415505020531466,8.200348316094814,0.0012332127370556125,0.0003,8.747737407684326,0.7697189526053678,6.590277777777778e-05,4109.549481310331,60.0,36.328125,11625,32000,warmup,0,150,0.48,16,9.0,71,1,0,70,107.9229112513925,1.408450704225352,0.0,0.0,98.59154929577464,0.0,0.0,0.0,0.0,skipped
3,10271.456231117249,43,43,43,5504,1.2824172973632812,4341.407890796661,8.709330226099768,0.020251729424501163,0.227466169484826,0.02471643155269417,8.20134083060331,0.0012340422237547457,0.00029960937499999996,7.453315612881682,0.604821674209138,0.00010472222222222222,4291.894698641791,60.0,78.40625,25090,32000,warmup,0,150,0.48,16,9.0,79,1,0,78,114.44886019770023,2.5316455696202533,0.0,0.0,97.46835443037975,0.0,0.0,0.0,0.0,skipped
4,15117.155941963196,48,48,48,6144,1.4981141090393066,4844.003892660141,8.704299847284952,0.02065049301745264,0.1935231788083911,0.017825232325378745,8.201575616995493,0.0013894158009495102,0.00029921874999999995,6.652687619129817,0.3038417078696656,0.00014805555555555554,4101.156222298683,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,88,0,1,87,114.74498879670563,4.545454545454546,0.0,0.0,95.45454545454545,0.0,0.0,0.0,0.0,skipped
5,20320.43001651764,53,53,53,6784,1.5952239036560059,5201.484430074692,8.694751037741607,0.01608345027488966,0.18369579961839713,0.016500542002216435,8.202490104819244,0.0011308348749515947,0.000298828125,6.533551971867399,0.28190334373864245,0.00019590277777777775,4252.694549305664,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,96,0,0,96,114.39685766082513,2.0833333333333335,0.0,0.0,97.91666666666667,0.0,0.0,0.0,0.0,skipped
6,25520.951241970062,53,53,53,6784,1.6195464134216309,5198.706495285034,8.673910842751557,0.01840862112287503,0.17581336115891077,0.01595826654981292,8.204482186515376,0.0012295261512249292,0.0002984375,6.490187510004583,0.35167224675351155,0.00024375,4188.827157887608,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,96,0,1,95,114.21714222760824,1.0416666666666667,0.0,0.0,98.95833333333333,0.0,0.0,0.0,0.0,skipped
7,30718.9721326828,53,53,53,6784,1.7495441436767578,5196.069983482361,8.652129875039154,0.019911354552988734,0.17307423673710734,0.017977677077794935,8.20590798359997,0.0012595972988706126,0.00029804687499999997,6.371362362267836,0.28866876337916136,0.0002915972222222222,3877.581497168212,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,96,0,1,95,114.25859201773837,4.166666666666667,0.0,0.0,95.83333333333333,0.0,0.0,0.0,0.0,skipped
8,47878.57263684273,53,53,53,6784,1.5744845867156982,5193.961393117905,8.62816011680747,0.01976564155930643,0.16436272297265395,0.022687669419476413,8.20803201423501,0.0016701051038102894,0.00029765624999999996,6.297687116658913,0.39953133919227113,0.00033944444444444446,4308.711598219649,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,96,2,1,93,114.80054935814788,5.208333333333333,0.0,0.0,94.79166666666667,50.0,100.0,0.0,11963.069964647293,reject
9,53028.43141031265,53,53,53,6784,1.6542589664459229,5147.997312307358,8.596385505964172,0.025952768886967886,0.14856715542527865,0.015320757192494466,8.209770112667444,0.0013741844231180522,0.00029726562499999995,5.846624374389648,0.266186385826613,0.00038729166666666664,4100.92986503499,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,96,0,0,96,114.17179360640456,1.0416666666666667,0.0,0.0,98.95833333333333,0.0,0.0,0.0,0.0,skipped
10,58159.095222473145,53,53,53,6784,1.5712223052978516,5128.893308162689,8.555623486356914,0.025467396584942945,0.1319593981189548,0.014430790138652018,8.212523334431198,0.001506327721664171,0.000296875,5.490357057103571,0.28136833645797515,0.0004351388888888888,4317.657645977714,60.0,100.0,32000,32000,warmup,0,150,0.48,16,9.0,96,0,0,96,114.52939235633764,3.125,0.0,0.0,96.875,0.0,0.0,0.0,0.0,skipped
