iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,eval_requests,eval_cache_hits,eval_cache_misses,eval_batches,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,304.7881872653961,64,64,64,16384,3.4715416431427,301.2416207790375,8.44155402481556,0.0035548145039788204,1.0428062276914716,0.035161795176144636,8.43645553290844,7.090221000954803e-05,0.0002,30.806592732667923,8.002840243501652,0.000128,4719.517057317501,75.0,0.0,0,50000,warmup,0,120,0.95,12,6.0,32,4,6,22,18.47219152854512,31.25,0.0,0.0,68.75,48284,2743,45541,2261,0.0,0.0,0.0,0.0,skipped
2,520.9460763931274,80,80,80,20480,1.9669828414916992,214.14222598075867,8.444719386100768,0.003067072742748842,1.2209594309329987,0.0706108686394245,8.436383914947509,8.104750554024921e-05,0.0002,29.522128212451936,13.252703398258049,0.000288,10411.88543590375,75.0,5.43,2715,50000,warmup,0,120,0.95,12,6.0,40,5,4,31,28.801299404439632,22.5,0.0,0.0,77.5,149975,6544,143431,5168,0.0,0.0,0.0,0.0,skipped
3,782.3997647762299,96,96,96,24576,2.618654251098633,258.7890396118164,8.438424150149027,0.0037333881532809754,1.0530013317863147,0.04829040094283641,8.436336447795233,6.444659631323792e-05,0.000199609375,26.597795913616817,9.07933572523919,0.00048,9384.973212744431,75.0,12.818,6409,50000,warmup,0,120,0.95,12,6.0,48,7,3,38,41.69260435571688,20.833333333333332,0.0,0.0,79.16666666666667,326346,11246,315100,10518,0.0,0.0,0.0,0.0,skipped
4,1105.9075469970703,112,112,112,28672,3.090595245361328,320.3779182434082,8.435609144823891,0.003219288784557504,1.103629651346377,0.07055206439721157,8.436259286744255,7.511941896193723e-05,0.00019921875000000001,31.940623904977524,10.778250953865529,0.000704,9277.17728260722,75.0,21.634,10817,50000,warmup,0,120,0.95,12,6.0,56,11,3,42,57.3353057199211,25.0,0.0,0.0,75.0,604469,16831,587638,17764,0.0,0.0,0.0,0.0,skipped
5,1400.2958297729492,128,128,128,32768,3.533095121383667,290.81539154052734,8.430143751204014,0.0037521967365719,1.0862721125595272,0.0744214870175419,8.436203621327877,7.353885608920412e-05,0.000198828125,33.36269312351942,9.792914571714856,0.00096,9274.587542711575,75.0,31.774,15887,50000,ramp,1,120,0.95,12,6.0,64,9,15,40,72.36294651119748,37.5,0.0,0.0,62.5,978848,23196,955652,26078,0.0,0.0,0.0,0.0,skipped
6,1583.333130121231,128,128,128,32768,4.008284568786621,178.98519921302795,8.423932358622551,0.003979696404730005,1.0931544778868556,0.06268534985875594,8.436205320060253,7.508980597598848e-05,0.00019843750000000002,31.400128982961178,9.937138792386959,0.001216,8175.068271143098,75.0,42.58,21290,50000,ramp,1,118,0.94,11,5.7,64,14,9,41,74.04109852122143,35.9375,0.0,0.0,64.0625,1347759,29403,1318356,34582,0.0,0.0,0.0,0.0,skipped
7,2248.851621389389,128,128,128,32768,3.562140703201294,167.23308324813843,8.414862543344498,0.004468933486253341,1.0552704348228872,0.056146132963598015,8.436032004654408,0.00010506407506081403,0.000198046875,28.431081414222717,8.435824662335914,0.001472,9198.962851341446,75.0,52.994,26497,50000,ramp,1,116,0.93,11,5.4,64,9,6,49,71.80512909979065,23.4375,0.0,0.0,76.5625,1740308,36154,1704154,44430,54.166666666666664,58.333333333333336,41.666666666666664,494.51663875579834,accept (auto)
8,2406.93084526062,128,128,128,32768,3.7027177810668945,154.33612871170044,8.401964105665684,0.005061779409353063,1.0736385588534176,0.06215910588182917,8.435738056898117,0.00010215248017144478,0.00019765625,28.985055036842823,7.6978187604403425,0.001728,8849.71578648327,75.0,64.458,32229,50000,ramp,1,114,0.92,10,5.1,64,9,10,45,72.70067663817663,29.6875,0.0,0.0,70.3125,2128121,42852,2085269,53814,0.0,0.0,0.0,0.0,skipped
9,2563.42644906044,128,128,128,32768,4.244152784347534,152.20982098579407,8.38686739653349,0.006532818710711878,1.0900296946056187,0.0679905565919375,8.435364216566086,0.0001800264312811911,0.000197265625,30.73436363786459,9.553067810587114,0.001984,7720.739960363496,75.0,75.69,37845,50000,ramp,1,112,0.91,10,4.8,64,16,11,37,74.10039653929344,42.1875,0.0,0.0,57.8125,2518002,49343,2468659,63111,0.0,0.0,0.0,0.0,skipped
10,2718.82209277153,128,128,128,32768,4.516338109970093,150.8370578289032,8.365349888801575,0.007993187862614928,1.0507631204091012,0.06539331576866661,8.434673249721527,0.0002555739507591694,0.000196875,29.86905176192522,9.492966831250865,0.0019998791047170636,7255.435532530799,75.0,86.786,43393,50000,ramp,1,110,0.9,9,4.5,64,9,9,46,73.24678111587983,28.125,0.0,0.0,71.875,2905615,55932,2849683,72311,0.0,0.0,0.0,0.0,skipped
